host_material,co_catalyst,co_catalyst_wt_pct,glycerol_concentration_v_pct,light_type,catalyst_loading_g_L,pred_median_log,pred_p05_log,pred_p95_log,ucb_log,ad_score,ad_label,pred_her_umol_g_h,pred_her_lower_umol_g_h,pred_her_upper_umol_g_h,ucb_her_umol_g_h,novelty_score
cu2o,wc,5.0,50.0,visible,0.5,8.23954052600677,6.6236508992393315,9.85543015277421,9.85543015277421,2,Moderate Confidence,3786.799512908404,751.6880752180319,19060.581579903606,19060.581579903606,0.3530779934280367
ga2o3,wc,5.0,50.0,visible,0.5,8.23954052600677,6.6236508992393315,9.85543015277421,9.85543015277421,2,Moderate Confidence,3786.799512908404,751.6880752180319,19060.581579903606,19060.581579903606,0.3530779934280367
zns,ir,5.0,30.0,visible,0.5,8.208168823932459,6.59227919716502,9.824058450699898,9.824058450699898,2,Moderate Confidence,3669.8144005311315,728.4415177473057,18471.87004551161,18471.87004551161,0.2991596473077955
zns,pt,5.0,30.0,visible,0.5,8.1956836531527,6.579794026385262,9.81157327992014,9.81157327992014,2,Moderate Confidence,3624.268571205272,719.3909324423914,18242.666905704293,18242.666905704293,0.30275603970232456
zns,rh,2.0,50.0,visible,0.5,8.180521516606722,6.5646318898392835,9.796411143374161,9.796411143374161,2,Moderate Confidence,3569.716363207755,708.5506553114044,17968.140400390366,17968.140400390366,0.35185905318309246
cu2o,rh,5.0,50.0,visible,0.5,8.179537614906357,6.563647988138918,9.795427241673796,9.795427241673796,2,Moderate Confidence,3566.2048570781767,707.8528705472476,17950.469227370468,17950.469227370468,0.3642969794707193
ga2o3,rh,5.0,50.0,visible,0.5,8.179537614906357,6.563647988138918,9.795427241673796,9.795427241673796,2,Moderate Confidence,3566.2048570781767,707.8528705472476,17950.469227370468,17950.469227370468,0.3642969794707193
v2o5,rh,5.0,50.0,visible,0.5,8.179537614906357,6.563647988138918,9.795427241673796,9.795427241673796,2,Moderate Confidence,3566.2048570781767,707.8528705472476,17950.469227370468,17950.469227370468,0.3642969794707193
ga2o3,ir,2.0,50.0,uv,0.5,8.157308231412596,6.541418604645157,9.773197858180035,9.773197858180035,2,Moderate Confidence,3487.782956849066,692.26935591369,17555.821769453545,17555.821769453545,0.3079591174252338
v2o5,ir,2.0,50.0,uv,0.5,8.157308231412596,6.541418604645157,9.773197858180035,9.773197858180035,2,Moderate Confidence,3487.782956849066,692.26935591369,17555.821769453545,17555.821769453545,0.3079591174252338
cu2o,ir,2.0,50.0,uv,0.5,8.157308231412596,6.541418604645157,9.773197858180035,9.773197858180035,2,Moderate Confidence,3487.782956849066,692.26935591369,17555.821769453545,17555.821769453545,0.3079591174252338
v2o5,pt,2.0,50.0,uv,0.5,8.132828010220118,6.516938383452679,9.748717636987557,9.748717636987557,2,Moderate Confidence,3403.4136810082664,675.5040156089203,17131.244959409567,17131.244959409567,0.3080607856814103
cu2o,pt,2.0,50.0,uv,0.5,8.132828010220118,6.516938383452679,9.748717636987557,9.748717636987557,2,Moderate Confidence,3403.4136810082664,675.5040156089203,17131.244959409567,17131.244959409567,0.3080607856814103
ga2o3,pt,2.0,50.0,uv,0.5,8.132828010220118,6.516938383452679,9.748717636987557,9.748717636987557,2,Moderate Confidence,3403.4136810082664,675.5040156089203,17131.244959409567,17131.244959409567,0.3080607856814103
ga2o3,ru,5.0,50.0,visible,0.5,8.116595049748707,6.500705422981268,9.732484676516146,9.732484676516146,2,Moderate Confidence,3348.5960978648955,664.6110047714467,16855.382990068374,16855.382990068374,0.35286383781120667
v2o5,ru,5.0,50.0,visible,0.5,8.116595049748707,6.500705422981268,9.732484676516146,9.732484676516146,2,Moderate Confidence,3348.5960978648955,664.6110047714467,16855.382990068374,16855.382990068374,0.35286383781120667
