composition,host_material,co_catalyst,co_catalyst_wt_pct,pred_her_umol_g_h,ucb_her_umol_g_h,pred_median_log,pred_p05_log,pred_p95_log,confidence,novelty_score
in2o3/mos2 (3.0 wt%),in2o3,mos2,3.0,2833.913746735769,18883.153523651286,7.9497667912671925,6.05345517107435,9.846078411460036,MEDIUM,0.09643750743993793
fe2o3/mos2 (3.0 wt%),fe2o3,mos2,3.0,2833.7897860409794,18882.32778678573,7.949723063868011,6.053411443675168,9.846034684060854,MEDIUM,0.09261630883194233
bi2wo6/wc (3.0 wt%),bi2wo6,wc,3.0,2825.1225935705074,18824.59319312487,7.94666094290176,6.050349322708917,9.842972563094603,MEDIUM,0.1072905850159387
g-c3n4/cu (3.0 wt%),g-c3n4,cu,3.0,2812.288327210403,18739.100554561628,7.942109301356872,6.0457976811640295,9.838420921549716,MEDIUM,0.10486568647799628
moo3/ir (3.0 wt%),moo3,ir,3.0,2796.1950530285744,18631.898753202488,7.936372427284095,6.040060807091252,9.832684047476938,MEDIUM,0.09273535679839824
moo3/pt (3.0 wt%),moo3,pt,3.0,2775.8410233984046,18496.31486787135,7.929069238062189,6.032757617869346,9.825380858255032,MEDIUM,0.09455753454432961
wo3/au (5.0 wt%),wo3,au,5.0,2732.1483630182697,18205.265834219,7.913209470227891,6.016897850035048,9.809521090420734,MEDIUM,0.11751050813993147
v2o5/ir (3.0 wt%),v2o5,ir,3.0,2719.2776253540433,18119.53025009629,7.908489222226313,6.0121776020334705,9.804800842419157,MEDIUM,0.09016602337893244
cu2o/ir (3.0 wt%),cu2o,ir,3.0,2719.2776253540433,18119.53025009629,7.908489222226313,6.0121776020334705,9.804800842419157,MEDIUM,0.09016602337893244
ga2o3/ir (3.0 wt%),ga2o3,ir,3.0,2719.2776253540433,18119.53025009629,7.908489222226313,6.0121776020334705,9.804800842419157,MEDIUM,0.09016602337893244
nife2o4/ir (3.0 wt%),nife2o4,ir,3.0,2719.2776253540433,18119.53025009629,7.908489222226313,6.0121776020334705,9.804800842419157,MEDIUM,0.09016602337893244
ta2o5/ir (3.0 wt%),ta2o5,ir,3.0,2719.2776253540433,18119.53025009629,7.908489222226313,6.0121776020334705,9.804800842419157,MEDIUM,0.09016602337893244
g-c3n4/au (3.0 wt%),g-c3n4,au,3.0,2715.4579160105477,18094.086097609674,7.907084073882085,6.010772453689242,9.803395694074927,MEDIUM,0.11162142382118082
cu2o/pt (3.0 wt%),cu2o,pt,3.0,2699.483291981111,17987.674658107557,7.901186033004405,6.004874412811562,9.797497653197247,MEDIUM,0.09207868685197007
nife2o4/pt (3.0 wt%),nife2o4,pt,3.0,2699.483291981111,17987.674658107557,7.901186033004405,6.004874412811562,9.797497653197247,MEDIUM,0.09207868685197007
ga2o3/pt (3.0 wt%),ga2o3,pt,3.0,2699.483291981111,17987.674658107557,7.901186033004405,6.004874412811562,9.797497653197247,MEDIUM,0.09207868685197007
ta2o5/pt (3.0 wt%),ta2o5,pt,3.0,2699.483291981111,17987.674658107557,7.901186033004405,6.004874412811562,9.797497653197247,MEDIUM,0.09207868685197007
v2o5/pt (3.0 wt%),v2o5,pt,3.0,2699.483291981111,17987.674658107557,7.901186033004405,6.004874412811562,9.797497653197247,MEDIUM,0.09207868685197007
bivo4/au (5.0 wt%),bivo4,au,5.0,2693.147260239355,17945.468578194257,7.898837017777551,6.002525397584709,9.795148637970394,MEDIUM,0.04981267451624343
wo3/ir (3.0 wt%),wo3,ir,3.0,2674.529196064432,17821.448444390444,7.891902470068733,5.9955908498758905,9.788214090261576,MEDIUM,0.11577889296298406
bi2wo6/pd (3.0 wt%),bi2wo6,pd,3.0,2642.736473528451,17609.66822568165,7.8799485263856415,5.983636906192799,9.776260146578485,MEDIUM,0.10602377466209344
zns/au (3.0 wt%),zns,au,3.0,2636.8679181995435,17570.576136929132,7.877726263107752,5.981414642914909,9.774037883300595,MEDIUM,0.10212770303874641
