y_true_log,y_true_umol,boot_median_log,boot_p05_log,boot_p95_log,boot_ci_width_log,conf_pred_log,conf_lo_log,conf_hi_log,conf_ci_width_log,model_disagree_std,host_material,boot_covered,conf_covered
9.30810208975868,11026.00000000002,9.586106675868749,8.941156184125608,10.108847606484895,1.1676914223592867,9.743717442857474,8.615922699384544,10.871512186330403,2.2555894869458584,0.46133632284789133,tio2,1,1
11.909020140718257,148600.00000000038,11.824039661584422,11.002511680282023,12.236319379827993,1.2338076995459701,12.029181553462172,10.901386809989242,13.1569762969351,2.2555894869458584,0.6849721594854963,tio2,1,1
7.021351785564677,1119.2999999999997,7.442834184820908,6.880876798271587,7.903918328447074,1.0230415301754867,7.414502785411746,6.286708041938817,8.542297528884674,2.2555894869458575,0.26390698504750426,moo3,1,1
8.178919332848396,3564.0000000000005,7.55260274535487,7.137595569707729,7.93787704306166,0.8002814733539312,7.626693856218157,6.498899112745228,8.754488599691086,2.2555894869458584,0.4620125168173325,pbtio3,0,1
6.492542819419093,659.2000000000002,8.007497108817944,7.436490864948183,8.747200449092913,1.31070958414473,7.9089790292603315,6.781184285787402,9.03677377273326,2.2555894869458584,0.3300104477577398,tio2,0,0
6.741700694652055,846.0000000000003,6.674300098702685,6.023111919621611,7.649042271097828,1.6259303514762173,5.793429316063913,4.665634572590984,6.921224059536843,2.2555894869458584,0.6274581676844313,tio2,1,1
7.421177528595393,1669.9999999999993,7.184105157721772,5.9569845130433645,7.881714168992846,1.9247296559494815,7.767749158737326,6.639954415264397,8.895543902210255,2.2555894869458584,0.41605899923790995,tio2,1,1
4.12568171753114,60.90999999999998,3.6057405440563572,3.164928138985996,4.5773212337721825,1.4123930947861867,3.5136035351773858,2.3858087917044566,4.641398278650315,2.2555894869458584,0.45884562856432426,zno,1,1
9.711176264112805,16499.999999999993,9.197463276001812,8.627546825224746,9.721692577592718,1.0941457523679716,9.144375288262044,8.016580544789115,10.272170031734973,2.2555894869458584,0.26422223414087626,tio2,1,1
11.630717389475995,112500.00000000004,11.296046648737786,10.609392304934039,11.843658963758193,1.2342666588241542,11.30903874669682,10.18124400322389,12.436833490169748,2.2555894869458584,0.20970995729989442,tio2,1,1
10.742249081901043,46268.99999999991,10.402735714240581,9.968195320314539,10.703376529617046,0.7351812093025067,10.48443646246189,9.35664171898896,11.612231205934819,2.2555894869458584,0.5079611307735618,tio2,0,1
1.786746927404511,4.9700000000000015,4.397691732167106,3.4458038033217786,5.145900414181809,1.7000966108600304,4.481306572528215,3.353511829055286,5.609101316001144,2.2555894869458584,0.12150346044018241,sral2o4,0,0
11.856522261533735,140999.99999999968,10.687921218335337,8.30135280670524,11.967020280862096,3.665667474156857,11.169852610729677,10.042057867256748,12.297647354202606,2.2555894869458584,2.534584926627937,tio2,1,1
8.380456667842767,4360.0,6.59462186517264,6.0726303965447475,7.618824170528788,1.5461937739840401,6.6506197194831165,5.522824976010187,7.778414462956046,2.2555894869458584,0.18484533933617056,tio2,0,0
6.392955100460736,596.6200000000007,5.558176610527685,5.080217362721517,5.952024762048604,0.8718073993270874,5.6274763937143115,4.499681650241382,6.755271137187241,2.2555894869458584,0.5528108427365699,cuo,0,1
6.38856140554563,594.0000000000002,8.078679653442556,7.513233867193717,8.60655459159935,1.0933207244056327,7.897944409352171,6.7701496658792415,9.0257391528251,2.2555894869458584,0.3277721526630546,tio2,0,0
5.476881874464279,238.10000000000008,5.365475758610616,5.0163988665963,5.8359360789999855,0.8195372124036853,5.265004951899513,4.137210208426584,6.392799695372442,2.2555894869458584,0.08959860690921463,zno,1,1
7.335177554442343,1532.2999999999997,7.6362356900282995,7.080785932916376,8.326088283852597,1.245302350936221,8.500640000735782,7.372845257262853,9.628434744208711,2.2555894869458584,0.22512401788468048,tio2,1,0
11.890683588496984,145899.99999999994,8.947203676641433,5.9010547509411,10.281495982983198,4.380441232042099,9.483021705516716,8.355226962043787,10.610816448989645,2.2555894869458584,0.7386228841228081,zno,0,0
3.707701208354524,39.76,5.0774100250889065,4.5898502170503335,6.2052914714387235,1.61544125438839,4.892009112297004,3.7642143688240752,6.019803855769934,2.2555894869458584,0.22045892650748072,tio2,0,0
7.119231025428665,1234.4999999999998,6.88751422218527,6.536074463867839,7.280422658497147,0.7443481946293078,6.9492956902769425,5.821500946804013,8.077090433749872,2.2555894869458584,0.3838208613648256,zno,1,1
4.634728988229636,102.00000000000001,4.644953623083525,4.1732610040573315,5.53053731200039,1.3572763079430583,4.463464413534551,3.3356696700616215,5.59125915700748,2.2555894869458584,0.856433521674661,tio2,1,1
