host_material,co_catalyst,co_catalyst_wt_pct,glycerol_concentration_v_pct,light_type,catalyst_loading_g_L,pred_median_log,pred_p05_log,pred_p95_log,ucb_log,novelty_score,pred_her_umol_g_h,ucb_her_umol_g_h
moo3,pt,2.0,30.0,uv,2.0,7.128456291420972,6.628456291420972,7.628456291420972,7.628456291420972,0.3256793756468715,1245.9505521193623,2054.873898790461
moo3,mos2,2.0,30.0,uv,2.0,7.126291630390503,6.626291630390503,7.626291630390503,7.626291630390503,0.325619268730066,1243.2542461992962,2050.4284418677335
g-c3n4,ni2p,2.0,30.0,uv,2.0,7.121450988910313,6.621450988910313,7.621450988910313,7.621450988910313,0.3368322974934916,1237.2458115545983,2040.5222078654085
zns,fes2,0.5,5.0,uv,2.0,7.118234988438791,6.618234988438791,7.618234988438791,7.618234988438791,0.21359559369130982,1233.270008958987,2033.9672175579196
zns,rgo,2.0,30.0,uv,2.0,7.116256438480721,6.616256438480721,7.616256438480721,7.616256438480721,0.3344237889412513,1230.83035836567,2029.9449137316415
g-c3n4,rh,0.5,5.0,uv,2.0,7.114455345668909,6.614455345668909,7.614455345668909,7.614455345668909,0.2204531945746696,1228.6137143518663,2026.2902855965135
g-c3n4,co,2.0,30.0,uv,2.0,7.091580674148651,6.591580674148651,7.591580674148651,7.591580674148651,0.336774586856083,1200.8059636454327,1980.4430555164897
zns,mos2,2.0,30.0,uv,2.0,7.09033965236281,6.59033965236281,7.59033965236281,7.59033965236281,0.33057542620572933,1199.315421351228,1977.9855667311565
g-c3n4,cos2,2.0,30.0,uv,2.0,7.089278403748894,6.589278403748894,7.589278403748894,7.589278403748894,0.3367707705682393,1198.0422639618052,1975.8864850622663
ga2o3,au,0.5,5.0,uv,2.0,7.088815154029735,6.588815154029735,7.588815154029735,7.588815154029735,0.1955579452407385,1197.486936607317,1974.9709050407193
cu2o,au,0.5,5.0,uv,2.0,7.088815154029735,6.588815154029735,7.588815154029735,7.588815154029735,0.1955579452407385,1197.486936607317,1974.9709050407193
v2o5,au,0.5,5.0,uv,2.0,7.088815154029735,6.588815154029735,7.588815154029735,7.588815154029735,0.1955579452407385,1197.486936607317,1974.9709050407193
g-c3n4,au,2.0,30.0,uv,2.0,7.088031262205928,6.588031262205928,7.588031262205928,7.588031262205928,0.3388290161832926,1196.5478206275295,1973.4225645491895
g-c3n4,wc,2.0,30.0,uv,2.0,7.088029737748544,6.588029737748544,7.588029737748544,7.588029737748544,0.3376780930056081,1196.5459950183028,1973.4195546284254
g-c3n4,ru,2.0,30.0,uv,2.0,7.079251977662479,6.579251977662479,7.579251977662479,7.579251977662479,0.33701903035468966,1186.0802237945406,1956.1644149975277
bivo4,au,0.5,5.0,uv,2.0,7.0773191920004495,6.5773191920004495,7.5773191920004495,7.5773191920004495,0.15478501366659414,1183.7880679948037,1952.3852889747425
bivo4,cu,0.5,5.0,uv,2.0,7.075808639827569,6.575808639827569,7.575808639827569,7.575808639827569,0.15589113793080858,1181.9997348296124,1949.4368260461931
srtio3,cu,0.5,5.0,uv,2.0,7.073795282548341,6.573795282548341,7.573795282548341,7.573795282548341,0.521576611025835,1179.6203298021487,1945.513850365803
srtio3,au,0.5,5.0,uv,2.0,7.067604989732109,6.567604989732109,7.567604989732109,7.567604989732109,0.5209006408124336,1172.3345181754073,1933.50157776248
g-c3n4,ir,2.0,30.0,uv,2.0,7.060188343268228,6.560188343268228,7.560188343268228,7.560188343268228,0.3372778930693095,1163.664501835586,1919.207137405699
g-c3n4,pt,2.0,30.0,uv,2.0,7.056194979153898,6.556194979153898,7.556194979153898,7.556194979153898,0.33774153289591774,1159.0228464870263,1911.5543415012698
moo3,ni2p,2.0,30.0,uv,2.0,7.054842682649939,6.554842682649939,7.554842682649939,7.554842682649939,0.3247554075728703,1157.4552118395313,1908.9697489132582
cu2o,cu,0.5,5.0,uv,2.0,7.048356995330584,6.548356995330584,7.548356995330584,7.548356995330584,0.19659088952030765,1149.966145684503,1896.6223662457828
v2o5,cu,0.5,5.0,uv,2.0,7.048356995330584,6.548356995330584,7.548356995330584,7.548356995330584,0.19659088952030765,1149.966145684503,1896.6223662457828
ga2o3,cu,0.5,5.0,uv,2.0,7.048356995330584,6.548356995330584,7.548356995330584,7.548356995330584,0.19659088952030765,1149.966145684503,1896.6223662457828
srtio3,rh,0.5,5.0,uv,2.0,7.041537901076711,6.541537901076711,7.541537901076711,7.541537901076711,0.5208917731229079,1142.1442983209342,1883.7263201212972
srtio3,pt,0.5,5.0,uv,2.0,7.040756626143051,6.540756626143051,7.540756626143051,7.540756626143051,0.5207249049718219,1141.2515371264826,1882.2544057503492
bi2wo6,au,0.5,5.0,uv,2.0,7.0393263014286305,6.5393263014286305,7.5393263014286305,7.5393263014286305,0.18161504434901202,1139.618914391508,1879.5626659201678
g-c3n4,rgo,2.0,30.0,uv,2.0,7.034790176076937,6.534790176076937,7.534790176076937,7.534790176076937,0.34149481445753815,1134.456641228161,1871.0515163505934
g-c3n4,mos2,2.0,30.0,uv,2.0,7.033192160716739,6.533192160716739,7.533192160716739,7.533192160716739,0.33768238329945527,1132.6436130838717,1868.0623382847252
bivo4,pt,0.5,5.0,uv,2.0,7.030553608321073,6.530553608321073,7.530553608321073,7.530553608321073,0.15449722954870926,1129.6563777343154,1863.1372198233246
bivo4,rh,0.5,5.0,uv,2.0,7.02996721297593,6.52996721297593,7.52996721297593,7.52996721297593,0.15477049414942712,1128.9935604529335,1862.0444188729225
v2o5,pt,0.5,5.0,uv,2.0,7.029298657658624,6.529298657658624,7.529298657658624,7.529298657658624,0.19528924233801412,1128.2383497277735,1860.7992868864903
cu2o,pt,0.5,5.0,uv,2.0,7.029298657658624,6.529298657658624,7.529298657658624,7.529298657658624,0.19528924233801412,1128.2383497277735,1860.7992868864903
ga2o3,pt,0.5,5.0,uv,2.0,7.029298657658624,6.529298657658624,7.529298657658624,7.529298657658624,0.19528924233801412,1128.2383497277735,1860.7992868864903
cu2o,rh,0.5,5.0,uv,2.0,7.029070207188769,6.529070207188769,7.529070207188769,7.529070207188769,0.19554438801107385,1127.9804041612147,1860.3740065442219
ga2o3,rh,0.5,5.0,uv,2.0,7.029070207188769,6.529070207188769,7.529070207188769,7.529070207188769,0.19554438801107385,1127.9804041612147,1860.3740065442219
v2o5,rh,0.5,5.0,uv,2.0,7.029070207188769,6.529070207188769,7.529070207188769,7.529070207188769,0.19554438801107385,1127.9804041612147,1860.3740065442219
moo3,co,2.0,30.0,uv,2.0,7.014210985964379,6.514210985964379,7.514210985964379,7.514210985964379,0.3246967606044584,1111.3286569615898,1832.9199167418792
srtio3,wc,0.5,5.0,uv,2.0,7.014027208872039,6.514027208872039,7.514027208872039,7.514027208872039,0.5207568213397988,1111.1242552180418,1832.5829152395233
g-c3n4,fes2,2.0,30.0,uv,2.0,7.013966429156654,6.513966429156654,7.513966429156654,7.513966429156654,0.3367514920107936,1111.056662676485,1832.4714739785184
srtio3,ir,0.5,5.0,uv,2.0,7.0100101987319094,6.5100101987319094,7.5100101987319094,7.5100101987319094,0.5207844063986187,1106.6658016296533,1825.2321679739182
fe2o3,au,0.5,5.0,uv,2.0,7.007452037309641,6.507452037309641,7.507452037309641,7.507452037309641,0.20356715343234028,1103.8358350061997,1820.5663418064587
moo3,cos2,2.0,30.0,uv,2.0,7.0052762449352945,6.5052762449352945,7.5052762449352945,7.5052762449352945,0.32469288239380834,1101.434554912266,1816.6073002386815
